name,uses,action
filet of pike,1,skip
filet of carp,1,skip
lb eel,1,skip
filet of perch,1,skip
crouton,1,skip
dulce de leche,1,skip
chipotle-based sauce,1,skip
green tea,1,skip
rougag,1,skip
tsp red pepper flake,1,skip
parmigiano-reggiano,1,skip
sweet basil leaf,1,skip
pasta seasoning,1,skip
spoonful rosewater,1,skip
grain musk,1,skip
grain ambergris,1,skip
mozzarella roll,1,skip
g parmigiano reggiano,1,skip
canola,1,skip
jar pasta sauce,1,skip
cup pearl tapioca,1,skip
saffron thread,1,skip
g suet from ox kidney,1,skip
smoked pork,1,skip
cup pea pod,1,skip
torn mixed green,1,skip
cup salad dressing,1,skip
sesame cracker,1,skip
yeast cake,1,skip
yellow prepared mustard,1,skip
crumbly,1,skip
maltese galletti,1,skip
anchovy paste,1,skip
dry hickory chunk,1,skip
cup hoisin sauce,1,skip
cup sake,1,skip
bone-in city ham,1,skip
cup cola,1,skip
pork belly from the loin end,1,skip
applewood chunk,1,skip
a heat-proof towel tied with twine and soaked with oil,1,skip
tbsp red pepper flake,1,skip
chile paste,1,skip
ea wild salmon fillet with skin,1,skip
soup mix,1,skip
ashwe leaf,1,skip
unsweetened applesauce,1,skip
additional rolled oat,1,skip
scotch bonnet chile pepper,1,skip
protein,1,skip
leafy vegetable,1,skip
baking cocoa,1,skip
instant espresso powder,1,skip
scoop,1,skip
roast,1,skip
french sandwich hoagie roll,1,skip
pequin chile,1,skip
slice of bacon,1,skip
thick asparagus spear,1,skip
cup whipping,1,skip
teriyaki glaze,1,skip
of scallop,1,skip
dash pepper sauce,1,skip
navy,1,skip
asparagus spear,1,skip
sherry,1,skip
stale french,1,skip
bunch broad-leaf parsley,1,skip
tablespoon semolina flour,1,skip
at least tablespoon all-purpose flour,1,skip
shortcrust pastry,1,skip
streaky bacon,1,skip
green olive,1,skip
thousand island dressing,1,skip
mixed pork and beef,1,skip
consomm,1,skip
anything else,1,skip
goat meat,1,skip
tatase,1,skip
rodo,1,skip
shombo,1,skip
alubosa,1,skip
ponmo,1,skip
bleached palm oil,1,skip
iru,1,skip
meat stock,1,skip
shaki,1,skip
kpomo,1,skip
fillet smoked mackerel,1,skip
mudu palm fruit,1,skip
bunch of atama leaf,1,skip
sized snail,1,skip
piece of uyayak,1,skip
cube of maggi,1,skip
atyever leaf,1,skip
ripened avocado,1,skip
berbere spice,1,skip
awaze sauce,1,skip
octopus,1,skip
clam,1,skip
tsp chili flake,1,skip
teaspoon chile pepper powder,1,skip
lb meat,1,skip
mild red pepper,1,skip
refrigerated can of cinnamon roll,1,skip
caramel sauce,1,skip
ea -inch baked pastry shell,1,skip
meringue made from the leftover egg white,1,skip
cup white flour,1,skip
quick-cooking oat,1,skip
bone-in pork chop,1,skip
cup semisweet chocolate chip,1,skip
ziti,1,skip
marinara sauce,1,skip
lb ricotta,1,skip
italian parsley,1,skip
bologna,1,skip
brown prepared mustard,1,skip
kaiser bun,1,skip
cup soumak,1,skip
khubz arabi,1,skip
pine nut to decorate,1,skip
container whipped topping,1,skip
ea oz chocolate graham cracker pie crust,1,skip
ea oz toffee candy bar,1,skip
heaping tbsp caper,1,skip
pint white wine,1,skip
creme fraiche,1,skip
assorted salad green,1,skip
ea beef ribeye steak,1,skip
penne pasta,1,skip
halibut fillet,1,skip
us pint double cream,1,skip
wineglassful benedictine,1,skip
pink food coloring,1,skip
cup crayfish,1,skip
cup king arthur all-purpose flour,1,skip
cup farmer all-purpose flour,1,skip
cup -grain einkorn flour,1,skip
kosher baking powder,1,skip
box of shell pasta,1,skip
pork spare rib,1,skip
sake,1,skip
teaspoon of white pepper,1,skip
liquid smoke flavor,1,skip
teaspoon louisiana-style red pepper sauce,1,skip
teaspoon dijon mustard,1,skip
a shot of whiskey,1,skip
tablespoon mustard,1,skip
dessert spoon golden syrup,1,skip
heavy,1,skip
tbsp granulated,1,skip
flavoring of choice,1,skip
spoon tea leaf,1,skip
cup clove,1,skip
cup allspice,1,skip
coarse cornmeal,1,skip
ice cream topping,1,skip
hundreds-and-thousand,1,skip
ea -bone standing rib roast,1,skip
ea beef brisket,1,skip
slab st louis pork sparerib,1,skip
cup light molasses,1,skip
tsp - white pepper,1,skip
g lasagne noodle,1,skip
x hickory wood chip,1,skip
blackstrap molasses,1,skip
scoop strawberry ice cream,1,skip
scoop chocolate ice cream,1,skip
chocolate sauce,1,skip
palm nut extract,1,skip
banga spice,1,skip
cup scent leaf,1,skip
teaspoon powdered spirulina,1,skip
maple syrup,1,skip
piece - chile,1,skip
instant millet couscous,1,skip
cassava root,1,skip
bazeen dough,1,skip
teaspoon concentrated liquid smoke flavoring,1,skip
food coloring,1,skip
filling as desired,1,skip
palm nut,1,skip
banga spice mix,1,skip
scent leaf,1,skip
root vegetable,1,skip
tsp liquid smoke,1,skip
stew bone,1,skip
spelt flour,1,skip
beef heart,1,skip
cup of spicy red chili,1,skip
achiote,1,skip
breading mix,1,skip
double-strength beef broth,1,skip
generous pinch each of cumin,1,skip
fat-free vegetable broth,1,skip
bag mixed vegetable,1,skip
cup broken angel-hair pasta,1,skip
other vegetable,1,skip
beef tongue,1,skip
cooking roast beef,1,skip
pastry,1,skip
half and half cream,1,skip
recipe spice rub,1,skip
can green salsa,1,skip
cup beer,1,skip
high beef fillet,1,skip
handful pine kernel,1,skip
truffle oil,1,skip
center cut beef tenderloin roast,1,skip
beef sirloin,1,skip
bamboo skewer,1,skip
ribeye steak,1,skip
thai bird chilis,1,skip
cracked black pepper,1,skip
beef tenderloin steak,1,skip
non-stick cooking spray,1,skip
cup dry red wine,1,skip
steak sauce,1,skip
scotch bonnet chili pepper,1,skip
beef flank steak,1,skip
lamb meat,1,skip
parsley as desired,1,skip
cayenne pepper powder,1,skip
package kale,1,skip
of wheat flour,1,skip
lb of baby shrimp,1,skip
cup of bitter melon,1,skip
cup bagoong alamang,1,skip
anise seed,1,skip
chipotle chile,1,skip
ancho chile,1,skip
shellfish,1,skip
mexican salsa verde,1,skip
flat crispy puris,1,skip
sev,1,skip
chat masala,1,skip
pack spaghetti noodle,1,skip
green capsicum,1,skip
red capsicum,1,skip
masoor,1,skip
elachi,1,skip
spring mint,1,skip
tbsp saffron,1,skip
tbsp turmeric,1,skip
lbs bison steak,1,skip
bison fat,1,skip
veal stock,1,skip
grain oat,1,skip
pint blackberry,1,skip
black cumin,1,skip
spoon cooking oil,1,skip
kg bagoong alamang,1,skip
siling labuyo,1,skip
monosodium glutamate,1,skip
pint shucked oyster,1,skip
bouquet of herb basil,1,skip
cup of red wine,1,skip
chocolate sprinkle,1,skip
lbs size shrimp,1,skip
yuca root,1,skip
egg either scrambled,1,skip
flour burrito skin,1,skip
full order of hash brown,1,skip
hollandaise sauce,1,skip
caribe,1,skip
matzo meal,1,skip
lb flour,1,skip
lb wheat-free baking mix,1,skip
whiskey,1,skip
teaspoon each of,1,skip
natural wheat bran,1,skip
tsp green chile pepper,1,skip
tsp mint,1,skip
tsp white pepper,1,skip
vol-au-vent shell,1,skip
cr me fra che,1,skip
lb beef eye round roast,1,skip
goya chorizos,1,skip
goya adobo seasoning,1,skip
pinche saffron,1,skip
heaping tbsp oregano,1,skip
green spanish olive with pimentos,1,skip
goya sazon con azafran,1,skip
rasher thick cut bacon,1,skip
cup cornflake,1,skip
english cut beef shortrib,1,skip
cup bacon fat,1,skip
sausage link,1,skip
cup dry breadcrumb,1,skip
tsp rubbed sage,1,skip
ea bone-in beef short rib,1,skip
dry red wine,1,skip
pork fat,1,skip
lbs smoked pork neck bone,1,skip
of lean beef,1,skip
of stewed san marzano,1,skip
tablespoon of black pepper,1,skip
boondi,1,skip
puris,1,skip
ham hock,1,skip
ripped basil leaf,1,skip
granola bar,1,skip
scoop of instant coffee powder,1,skip
teabag,1,skip
scoop of chocolate powder,1,skip
ona,1,skip
sheet of lavash,1,skip
cup baby bella,1,skip
cup sharp cheddar,1,skip
thin slice beef sirloin,1,skip
lean turkey breast,1,skip
teriyaki sauce,1,skip
various vegetable,1,skip
bulghur,1,skip
cup tahini,1,skip
dash black pepper,1,skip
bunch parsley,1,skip
tsp marjoram,1,skip
tripe,1,skip
cup boba tapioca pearl,1,skip
strong chilled black tea,1,skip
bun,1,skip
regular black tea leaf,1,skip
leaf green leaf lettuce,1,skip
toothpick,1,skip
slice of crisp fried bacon,1,skip
mixed meat,1,skip
gallon beef stock,1,skip
cup okra,1,skip
lbs meat,1,skip
salsa,1,skip
taco seasoning,1,skip
chili leaf,1,skip
yeast extract,1,skip
lemongrass stalk,1,skip
galangal,1,skip
shrimp paste,1,skip
mixed fruit,1,skip
white breadcrumb,1,skip
buckwheat flour,1,skip
cup unsweetened applesauce,1,skip
cup - dark chocolate,1,skip
steamed and taro root,1,skip
bowl of popped popcorn,1,skip
shot worcestershire sauce,1,skip
cleaned trout,1,skip
cup gochugaru,1,skip
cup aekjeot,1,skip
mini marshmallow,1,skip
graham cracker,1,skip
marshmallow,1,skip
teaspoon five spice powder,1,skip
teaspoon white pepper,1,skip
taro leaf,1,skip
stalk chive,1,skip
cup pancake mix,1,skip
dry linguine,1,skip
vegetarian bouillon cube,1,skip
textured vegetable protein,1,skip
drop red food colouring,1,skip
ea ham hock,1,skip
paul prudhomme s seafood magic,1,skip
package pizza dough,1,skip
cannoli shell,1,skip
tablespoon icing,1,skip
black treacle,1,skip
cannabis,1,skip
butternut squash,1,skip
cup cream sherry,1,skip
piloncilo cone,1,skip
tbsp flour,1,skip
of flour,1,skip
bouquet-garni,1,skip
tsp cayenne,1,skip
white wheat flour,1,skip
corned beef brisket,1,skip
powdered smoked paprika,1,skip
cup watery,1,skip
dry yellow hominy,1,skip
size madioca,1,skip
chourico,1,skip
package cake mix,1,skip
add-in,1,skip
tbsp fried shallot,1,skip
scotch fillet steak,1,skip
cup moong dhal,1,skip
tamari,1,skip
catsup,1,skip
soy lecithin powder,1,skip
century egg,1,skip
jinhua ham,1,skip
teaspoon coarse black pepper,1,skip
egg with yolk,1,skip
italian pancetta,1,skip
parmigiano and,1,skip
cappelletti pasta pillow,1,skip
petit pois,1,skip
green like matzumi,1,skip
pound green olive in brine,1,skip
pound celery rib,1,skip
cup pine nut,1,skip
cup brewed espresso,1,skip
chocolate syrup,1,skip
asian green,1,skip
cro ton,1,skip
pig ear,1,skip
mixture of duck,1,skip
duck fat,1,skip
ham bone,1,skip
a amount of that day s brewed coffee,1,skip
tablespoon powdered tuj,1,skip
tablespoon powdered elachi,1,skip
tablespoon powdered clove,1,skip
mint sprig,1,skip
white sauce,1,skip
psyllium husk powder,1,skip
thai green chile,1,skip
cube vegetable bouillon,1,skip
lbs cassava,1,skip
semi-sweet chocolate chip,1,skip
cup neutral oil,1,skip
fine cassava flour,1,skip
inch pre-made pie crust,1,skip
tbsp dijon mustard,1,skip
teaspoon mustard,1,skip
katis of pork,1,skip
char-siu sauce,1,skip
drop of tenderizer,1,skip
sweet cherry with juice,1,skip
cup raspberry,1,skip
cup blackberry,1,skip
strawberry preserve,1,skip
cherry pie filling,1,skip
pork shoulder,1,skip
tsp five spice,1,skip
cup apricot,1,skip
matsoh meal,1,skip
refrigerated pizza crust,1,skip
cup pizza sauce,1,skip
pepperoni,1,skip
italian sausage,1,skip
feta,1,skip
pound margarine,1,skip
sharp cheddar,1,skip
teaspoon powdered cayenne pepper,1,skip
cup - parmigiano reggiano,1,skip
favorite topping,1,skip
ea beef strip steak,1,skip
tsp - cinnamon,1,skip
tsp - allspice,1,skip
cup pasta,1,skip
tablespoon hoisin sauce,1,skip
cup heavy whipping cream,1,skip
glass of pressed cherry juice,1,skip
broken cherry pit,1,skip
chestnut,1,skip
bundle asparagus,1,skip
flat parsley,1,skip
spaetzle,1,skip
emmental,1,skip
sweet red wine,1,skip
spoon cocoa powder,1,skip
bottle boom blackcurrant beverage,1,skip
pitted cherry,1,skip
pie crust,1,skip
cup sunflower seed,1,skip
package of instant ramen noodle,1,skip
cup of vegetable,1,skip
oriental flavoring,1,skip
jar spaghetti sauce,1,skip
a teaspoon of oregano,1,skip
teaspoon of basil,1,skip
teaspoon of - black pepper,1,skip
a cup of all-purpose flour,1,skip
a cup of canola oil,1,skip
ea sirloin steak,1,skip
cabernet sauvignon wine,1,skip
strand saffron,1,skip
lb andouille sausage,1,skip
jar sweet pepper,1,skip
cherry pepper,1,skip
pint cream,1,skip
can black olive,1,skip
lb rigatoni pasta,1,skip
fettuccini pasta,1,skip
pizza dough,1,skip
jar of alfredo sauce,1,skip
package of pepperoni,1,skip
lbs,1,skip
tsp sweet basil,1,skip
cup of white wine,1,skip
